week,state,update_dts,percent_positive,total_pcr_tests,antigen_detections,pcr_detections,epi_week,epi_year
2020-12-05,OR,2022-10-25,0.075,2127,0.2,1,49,2020
2020-12-05,PA,2022-10-25,0.299,501.333,0,1.2,49,2020
2020-12-05,RI,2022-10-25,0,0,0,0,49,2020
2020-12-05,SC,2022-10-25,0,80.667,1.2,0,49,2020
2020-12-05,SD,2022-10-25,0,34,0,0,49,2020
2020-12-05,TN,2022-10-25,0,10.667,0,0,49,2020
2020-12-05,TX,2022-10-25,0.196,1322.333,1,2.6,49,2020
2020-12-05,UT,2022-10-25,0,0,0,0,49,2020
2020-12-05,VA,2022-10-25,0,176.667,0,0,49,2020
2020-12-05,VT,2022-10-25,0,47.667,0,0,49,2020
2020-12-05,WA,2022-10-25,0,558.333,0,0,49,2020
2020-12-05,WI,2022-10-25,0.06,1042.333,0.6,0.4,49,2020
2020-12-05,WV,2022-10-25,0.735,132.667,0,0.6,49,2020
2020-12-05,WY,2022-10-25,0,0,0,0,49,2020
2020-12-12,AL,2022-10-25,0,99.333,0.8,0,50,2020
2020-12-12,AR,2022-10-25,0,93.333,0,0,50,2020
2020-12-12,AZ,2022-10-25,0,160,0,0,50,2020
2020-12-12,CA,2022-10-25,0,1701.333,0,0,50,2020
2020-12-12,CO,2022-10-25,0.035,1887,0,0.6,50,2020
2020-12-12,CT,2022-10-25,0,235,0,0,50,2020
2020-12-12,DE,2022-10-25,0,0,0,0,50,2020
2020-12-12,GA,2022-10-25,1.501,918,0.6,9.2,50,2020
2020-12-12,HI,2022-10-25,0,26.333,0,0,50,2020
2020-12-12,IA,2022-10-25,0,507.667,0,0,50,2020
2020-12-12,ID,2022-10-25,0,93.667,0.2,0,50,2020
2020-12-12,IL,2022-10-25,0,39.667,0,0,50,2020
2020-12-12,IN,2022-10-25,0,444.667,0,0,50,2020
2020-12-12,KS,2022-10-25,0,153.667,0,0,50,2020
2020-12-12,KY,2022-10-25,0,630.667,0,0,50,2020
2020-12-12,LA,2022-10-25,0,101,0.4,0,50,2020
2020-12-12,MA,2022-10-25,0.239,695.333,0,1,50,2020
2020-12-12,MD,2022-10-25,0,301,0,0,50,2020
2020-12-12,ME,2022-10-25,0,0,0,0,50,2020
2020-12-12,MI,2022-10-25,0.029,1019,0,0.2,50,2020
2020-12-12,MN,2022-10-25,0.305,344.333,0,0.8,50,2020
2020-12-12,MO,2022-10-25,0,657.333,0,0,50,2020
2020-12-12,MS,2022-10-25,0,0,0,0,50,2020
2020-12-12,MT,2022-10-25,0,90.667,0,0,50,2020
2020-12-12,NC,2022-10-25,0,106,0,0,50,2020
2020-12-12,ND,2022-10-25,0,1,0,0,50,2020
2020-12-12,NE,2022-10-25,0.327,229.667,0,0.4,50,2020
2020-12-12,NH,2022-10-25,0,0,0,0,50,2020
2020-12-12,NJ,2022-10-25,0.082,872.333,0,0.8,50,2020
2020-12-12,NM,2022-10-25,0,215.667,0,0,50,2020
2020-12-12,NV,2022-10-25,0,17.667,0,0,50,2020
2020-12-12,NY,2022-10-25,0.057,2557,0,1,50,2020
2020-12-12,OH,2022-10-25,0.081,1640.667,0,1.2,50,2020
2020-12-12,OK,2022-10-25,0,509.667,0,0,50,2020
2020-12-12,OR,2022-10-25,0.075,2172.667,0.2,1.4,50,2020
2020-12-12,PA,2022-10-25,0.385,490.333,0,1.2,50,2020
2020-12-12,RI,2022-10-25,0,0,0,0,50,2020
2020-12-12,SC,2022-10-25,0,89,0.6,0,50,2020
2020-12-12,SD,2022-10-25,0,36,0,0,50,2020
2020-12-12,TN,2022-10-25,0,12.333,0,0,50,2020
2020-12-12,TX,2022-10-25,0.196,1325.667,0.6,2,50,2020
2020-12-12,UT,2022-10-25,0,0,0,0,50,2020
2020-12-12,VA,2022-10-25,0,187.667,0,0,50,2020
2020-12-12,VT,2022-10-25,0,97,0,0,50,2020
2020-12-12,WA,2022-10-25,0,522,0.2,0,50,2020
2020-12-12,WI,2022-10-25,0.06,1142.667,0.8,0.4,50,2020
2020-12-12,WV,2022-10-25,0.735,130.667,0,0.6,50,2020
2020-12-12,WY,2022-10-25,0,0,0,0,50,2020
